,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
176,Ribeira Grande,44,PT,1513837571,94,38.52,-28.7,66.35,18.84
177,Gua,0,IN,1513837814,58,22.2,85.38,74.22,3.4
178,Labuhan,92,ID,1513837531,100,-6.88,112.21,78.63,18.5
179,Praia da Vitoria,40,PT,1513836000,87,38.73,-27.07,60.8,15.93
180,Zelenogorskiy,0,RU,1513836000,55,55.03,87.0,6.8,8.95
181,Gravdal,75,NO,1513835400,86,68.12,13.5,41.0,13.87
182,Makakilo City,90,US,1513836960,94,21.35,-158.09,69.8,8.66
183,Tezu,8,IN,1513837817,52,27.92,96.17,63.96,1.83
184,Zheleznodorozhnyy,75,RU,1513836000,92,55.75,38.0,32.0,6.71
185,Saint-Philippe,0,RE,1513836000,62,-21.36,55.77,86.0,6.93
186,Hay River,90,CA,1513836000,84,60.82,-115.8,8.6,6.93
187,La Crosse,90,US,1513836900,58,43.8,-91.24,24.8,3.36
188,Guerrero Negro,0,MX,1513837538,100,27.98,-114.06,52.4,9.55
189,Naze,75,JP,1513832400,44,28.37,129.48,60.8,13.87
190,Great Yarmouth,75,GB,1513835400,100,52.61,1.73,46.4,3.36
191,Lubango,56,AO,1513837820,96,-14.92,13.49,64.41,2.28
192,Ilulissat,68,GL,1513835400,56,69.22,-51.1,15.8,20.8
193,Amga,36,RU,1513837821,67,60.9,131.96,-36.26,2.95
194,Yumbe,0,UG,1513837821,60,3.47,31.25,73.59,7.99
195,Cabras,0,IT,1513837822,92,39.93,8.53,44.43,18.39
196,Husavik,75,IS,1513832400,59,66.04,-17.34,35.6,5.82
197,Linhai,0,CN,1513837822,33,28.85,121.12,53.97,4.29
198,Udachnyy,56,RU,1513837823,76,66.42,112.4,-18.35,2.73
199,Winneba,32,GH,1513836000,94,5.35,-0.62,78.8,6.93
200,Vieste,40,IT,1513832100,80,41.88,16.18,33.8,5.82
201,Kurikka,90,FI,1513837200,100,62.58,22.42,30.2,2.24
202,Kalmar,90,SE,1513835400,93,56.66,16.36,41.0,9.17
203,Bitung,40,ID,1513834200,74,1.45,125.18,86.0,8.05
204,Hami,12,CN,1513837562,61,42.8,93.45,23.51,6.2
205,Carbonia,20,IT,1513835400,100,39.17,8.52,39.2,9.17
206,Mandalgovi,0,MN,1513837827,65,45.76,106.27,22.16,13.91
207,Kropotkin,76,RU,1513837827,100,45.44,40.58,31.29,4.97
208,Sungaipenuh,100,ID,1513837828,91,-2.08,101.38,70.76,1.28
209,La Libertad,92,EC,1513837829,100,-2.23,-80.9,73.23,11.23
210,Meadow Lake,1,US,1513836900,31,34.8,-106.54,46.4,16.11
211,Baoqing,20,CN,1513837830,77,46.33,132.21,20.31,6.98
212,Prainha,48,BR,1513837830,84,-1.8,-53.48,78.41,5.19
213,Aykhal,48,RU,1513837830,71,66.0,111.5,-17.36,2.84
214,Jerome,90,US,1513836180,79,42.72,-114.52,26.6,9.17
215,Victoria,20,CA,1513836000,86,48.43,-123.37,37.4,10.29
216,Otofuke,20,JP,1513836000,49,42.99,143.2,26.6,1.12
217,Ruteng,100,ID,1513837832,90,-8.61,120.47,77.78,4.63
218,Palmer,75,US,1513835760,50,42.16,-72.33,32.0,11.41
219,Mingshui,0,CN,1513837832,21,36.72,117.5,48.39,12.46
220,Cayenne,40,GF,1513836000,94,4.93,-52.33,77.0,2.24
221,Fallon,40,US,1513835760,67,39.47,-118.78,24.8,5.82
222,Shelburne,90,CA,1513836000,79,44.08,-80.2,24.8,2.24
223,Winslow,1,US,1513835760,39,35.02,-110.7,48.2,26.4
224,Turayf,0,SA,1513836000,37,31.67,38.66,57.2,8.05
225,Ballina,92,AU,1513837834,100,-28.87,153.57,74.76,14.58
226,Almaznyy,44,RU,1513837556,91,48.04,40.05,27.24,4.18
227,Yichun,8,CN,1513837835,72,47.7,128.9,15.36,3.51
228,Erzin,0,TR,1513835400,93,36.96,36.2,50.0,2.24
229,Santa Catarina de Tepehuanes,48,MX,1513837707,80,25.35,-105.73,39.84,2.73
230,Souillac,20,MU,1513836000,51,-20.52,57.52,86.0,9.17
231,Edd,0,ER,1513837836,47,13.93,41.69,70.62,4.63
232,La Ronge,5,CA,1513836000,75,55.1,-105.28,-13.01,4.7
233,Paragominas,92,BR,1513837837,98,-2.97,-47.48,74.18,3.18
234,Buchanan,75,LR,1513836000,94,5.88,-10.05,77.0,5.41
235,Pitelino,88,RU,1513837838,96,54.58,41.81,25.98,6.42
236,Reading,90,GB,1513837200,93,51.46,-0.97,50.0,5.82
237,Seminole,75,US,1513836900,100,27.84,-82.79,71.6,6.93
238,Kahului,75,US,1513835760,93,20.89,-156.47,66.2,4.7
239,Terenos,40,BR,1513836000,88,-20.44,-54.86,69.8,5.82
240,Lorengau,24,PG,1513837564,97,-2.02,147.27,85.43,8.21
241,Mets Masrik,92,AM,1513837841,100,40.22,45.77,30.21,3.4
242,Shuiji,0,CN,1513837841,33,27.42,118.34,55.1,2.84
243,Kavieng,8,PG,1513837570,100,-2.57,150.8,84.08,6.98
244,Aktau,0,KZ,1513836000,68,43.65,51.2,30.2,11.18
245,Tecoanapa,0,MX,1513837842,100,16.52,-98.75,65.85,0.94
246,El Campo,1,US,1513835700,93,29.2,-96.27,62.6,3.36
247,Licheng,0,CN,1513836000,14,23.3,113.83,68.0,4.47
248,Mercedes,8,AR,1513837843,90,-34.65,-59.43,65.36,3.29
249,San Jeronimo,92,PE,1513837550,94,-11.95,-75.28,40.16,1.61
250,Lagoa,44,PT,1513837599,97,39.05,-27.98,66.53,17.38
251,Kruisfontein,8,ZA,1513837315,71,-34.0,24.73,67.29,7.43
252,Tuktoyaktuk,90,CA,1513836000,85,69.45,-133.04,21.2,23.04
253,Tiksi,32,RU,1513837251,86,71.69,128.87,-40.08,3.51
254,San Cristobal,40,VE,1513832400,83,7.77,-72.22,75.2,2.24
255,Presidente Olegario,80,BR,1513837845,72,-18.42,-46.42,69.54,7.65
256,Kuching,75,MY,1513834200,70,1.55,110.33,84.2,12.75
257,Tasiilaq,0,GL,1513835400,61,65.61,-37.64,17.6,6.93
258,Aliartos,90,GR,1513835400,86,38.37,23.1,41.0,11.41
259,Marsh Harbour,0,BS,1513837847,100,26.54,-77.06,72.96,8.99
260,Along,0,IN,1513837824,38,28.17,94.77,70.17,1.72
261,Nome,90,US,1513835580,97,64.5,-165.41,32.0,26.4
262,Ambilobe,12,MG,1513837526,100,-13.2,49.05,79.44,4.18
263,Salalah,0,OM,1513835400,41,17.02,54.09,77.0,23.04
264,Cockburn Town,0,TC,1513837554,100,21.46,-71.14,78.72,16.37
265,Koslan,92,RU,1513837849,85,63.46,48.9,26.79,8.66
266,Lodja,68,CD,1513837850,91,-3.48,23.43,71.52,3.62
267,Deputatskiy,44,RU,1513837665,0,69.3,139.9,-39.41,2.73
268,Zwedru,20,LR,1513837850,95,6.07,-8.13,69.18,3.62
269,Teguldet,76,RU,1513837851,66,57.31,88.17,2.94,4.63
270,Wewak,36,PG,1513837851,80,-3.55,143.63,83.58,3.18
271,Esperance,8,AU,1513837580,33,-33.87,121.9,90.11,3.4
272,New Norfolk,0,AU,1513836000,37,-42.78,147.06,69.8,20.8
273,Isangel,92,VU,1513837506,100,-19.55,169.27,78.45,21.18
274,Pangnirtung,64,CA,1513837649,72,66.15,-65.71,-2.51,3.18
275,Ialibu,68,PG,1513837853,85,-6.28,143.99,63.69,1.05
276,Springdale,90,US,1513836660,100,36.19,-94.13,53.6,4.7
277,Necochea,12,AR,1513837556,60,-38.55,-58.74,74.67,16.49
278,Ilhabela,88,BR,1513837854,100,-23.78,-45.36,74.76,0.6
279,Palma del Rio,0,ES,1513836000,93,37.7,-5.28,41.0,5.82
280,Newport,90,GB,1513835400,100,51.59,-3.0,50.0,14.99
281,Praya,75,ID,1513834200,78,-8.71,116.27,82.4,3.36
282,Ayan,0,RU,1513837855,100,56.45,138.17,-2.73,6.08
283,Westport,1,US,1513835760,54,41.14,-73.36,35.6,8.05
284,Matane,90,CA,1513836000,66,48.83,-67.52,14.0,23.04
285,Sola,92,VU,1513837857,100,-13.88,167.55,77.6,16.6
286,Floro,20,NO,1513835400,70,61.6,5.03,42.8,11.41
287,La Baule-Escoublac,90,FR,1513836000,93,47.29,-2.36,48.2,6.93
288,Kabinda,48,CD,1513837858,100,-6.13,24.48,69.95,5.19
289,Roblin,0,CA,1513837859,44,51.23,-101.36,-15.42,5.3
290,Alofi,92,NU,1513832400,88,-19.06,-169.92,77.0,8.05
291,Pisz,92,PL,1513837859,93,53.63,21.81,22.16,11.79
292,Clyde River,1,CA,1513836000,74,70.47,-68.59,-27.41,2.73
293,Chumikan,0,RU,1513837860,65,54.72,135.31,3.03,16.26
294,Santa Cruz do Capibaribe,88,BR,1513837861,97,-7.96,-36.2,69.95,4.74
295,Chapais,90,CA,1513836000,76,49.78,-74.85,-4.01,9.17
296,Ganzhou,0,CN,1513837862,41,28.82,115.43,56.04,3.51
297,Valparaiso,0,CL,1513836000,93,-33.04,-71.63,51.8,4.7
298,Novaya Zaimka,56,RU,1513837863,90,56.49,66.92,12.98,8.77
299,Carnarvon,0,AU,1513837615,58,-24.87,113.63,86.51,13.69
300,Hovd,36,MN,1513837863,56,48.01,91.64,2.81,1.83
301,Chany,56,RU,1513837864,82,55.31,76.76,1.23,8.99
302,Mezen,92,RU,1513837864,93,65.85,44.24,32.01,5.75
303,Sept-Iles,20,CA,1513836000,61,50.2,-66.38,14.0,12.75
304,Pisco,0,PE,1513836000,88,-13.7,-76.22,66.2,3.36
305,Sao Filipe,92,CV,1513837504,96,14.9,-24.5,74.49,15.59
306,Dandong,0,CN,1513837865,54,40.13,124.39,37.59,5.75
307,Huarmey,64,PE,1513837866,93,-10.07,-78.15,61.44,2.84
308,Kwinana,0,AU,1513836000,15,-32.25,115.77,98.6,12.75
309,Seydisehir,0,TR,1513837867,78,37.42,31.85,30.48,2.06
310,Mayo,1,US,1513837020,55,38.89,-76.51,39.2,8.05
311,Strezhevoy,90,RU,1513836000,92,60.73,77.59,17.6,6.71
312,Smoky Lake,32,CA,1513837868,78,54.12,-112.47,9.69,12.01
313,Asau,0,RO,1513836000,92,46.43,26.4,24.8,2.24
314,Bilibino,68,RU,1513837640,77,68.05,166.44,-18.98,2.62
315,Mokhsogollokh,44,RU,1513837869,50,61.47,128.92,-30.68,3.62
316,Salinopolis,56,BR,1513837336,100,-0.61,-47.36,78.9,11.45
317,Arman,0,RU,1513836000,73,59.7,150.17,-36.41,2.24
318,Camopi,68,GF,1513837870,97,3.17,-52.32,72.51,2.17
319,Bud,40,US,1513836900,81,39.45,-86.18,33.8,8.05
320,Lamu,0,KE,1513837871,87,-2.27,40.9,81.96,9.66
321,Waipawa,20,NZ,1513836000,68,-41.41,175.52,66.2,24.16
322,Vanimo,44,PG,1513837871,100,-2.67,141.3,80.7,1.16
323,Hualmay,12,PE,1513837872,96,-11.1,-77.61,60.5,2.73
324,Nambucca Heads,90,AU,1513836000,88,-30.65,153.0,71.6,18.34
325,Great Bend,75,US,1513837080,93,38.36,-98.76,44.6,16.11
326,Tsagan Aman,92,RU,1513837873,97,47.56,46.72,26.25,8.32
327,Katsuura,20,JP,1513834200,46,35.13,140.3,50.0,11.41
328,Aden,0,YE,1513837874,93,12.78,45.04,78.81,19.95
329,Longyearbyen,40,SJ,1513835400,74,78.22,15.64,33.8,11.41
330,Nanortalik,8,GL,1513837584,100,60.14,-45.24,27.96,17.05
331,Nhulunbuy,8,AU,1513836000,46,-12.23,136.77,93.2,10.29
332,Clarence Town,90,AU,1513836000,94,-32.58,151.78,69.8,11.41
333,Manzhouli,0,CN,1513837876,58,49.6,117.43,19.59,5.64
334,Byron Bay,92,AU,1513836000,69,-28.65,153.62,80.6,8.05
335,Klaksvik,80,FO,1513835400,80,62.23,-6.59,41.0,16.11
336,Stromness,40,GB,1513837200,87,58.97,-3.3,42.8,5.82
337,Laguna,1,US,1513835880,81,38.42,-121.42,44.6,6.93
338,Hasaki,40,JP,1513834200,61,35.73,140.83,50.0,11.41
339,Yulara,0,AU,1513836000,9,-25.24,130.99,96.8,10.29
340,Beringovskiy,8,RU,1513837495,100,63.05,179.32,0.06,5.08
341,Ostrovnoy,0,RU,1513837663,87,68.05,39.51,20.81,10.22
342,Ouadda,0,CF,1513837878,65,8.08,22.4,70.85,11.12
343,Kutum,8,SD,1513837657,57,14.2,24.67,56.4,5.08
344,Salvador,75,BR,1513836000,78,-12.97,-38.51,75.2,2.24
345,Chebsara,68,RU,1513837880,90,59.2,38.84,22.56,11.01
346,Varberg,20,SE,1513835400,93,57.11,12.25,39.2,6.93
347,Riohacha,36,CO,1513837881,92,11.54,-72.91,78.54,18.28
348,Iglesias,20,IT,1513835400,100,39.31,8.54,39.2,9.17
349,Gusinoye Ozero,0,RU,1513837882,45,51.11,106.26,21.84,3.96
350,Tuy Hoa,100,VN,1513837882,100,13.08,109.3,71.34,22.86
351,Nemuro,20,JP,1513832400,50,43.32,145.57,28.4,3.36
352,Yatou,0,CN,1513837668,55,37.15,122.38,43.62,7.65
353,Mao,40,ES,1513834200,65,39.89,4.27,46.4,13.87
354,Taoudenni,0,ML,1513837883,57,22.68,-3.98,42.45,12.91
355,Jaru,24,BR,1513837884,97,-10.44,-62.47,71.03,2.28
356,Kisangani,0,CD,1513837884,96,0.52,25.2,73.95,4.07
357,Dumka,44,IN,1513837885,86,24.27,87.25,69.86,4.63
358,Leshukonskoye,92,RU,1513837885,88,64.9,45.76,30.39,8.21
359,Paka,75,MY,1513832400,65,4.64,103.44,82.4,10.29
360,Ladozhskaya,75,RU,1513836000,100,45.31,39.94,33.8,2.24
361,Adrar,0,DZ,1513836000,69,27.87,-0.29,35.6,6.93
362,Oistins,20,BB,1513836000,78,13.07,-59.53,78.8,14.99
363,Namatanai,12,PG,1513837610,97,-3.67,152.43,84.8,13.24
364,Lata,0,PT,1513836000,93,40.16,-8.33,35.6,2.24
365,Buguruslan,68,RU,1513837888,80,53.66,52.44,2.0,3.18
366,Chiredzi,75,ZW,1513836000,74,-21.05,31.67,78.8,8.05
367,Ponta do Sol,40,PT,1513836000,63,32.67,-17.1,62.6,6.93
368,Khash,0,IR,1513837889,33,28.22,61.22,54.06,4.18
369,Fortuna,90,US,1513835700,100,40.6,-124.16,39.2,6.93
370,Hambantota,56,LK,1513837889,96,6.12,81.12,82.5,14.7
371,Kayunga,0,UG,1513837890,71,0.7,32.89,71.75,7.65
372,Conceicao do Araguaia,0,BR,1513837890,92,-8.26,-49.26,73.59,2.95
373,Svetlyy,90,RU,1513836000,91,54.67,20.13,32.0,11.18
374,Talcahuano,0,CL,1513836000,93,-36.72,-73.12,53.6,8.05
